student_id,name,math_score,science_score,english_score,history_score,final_score,attendance_percentage,homework_completion
1,Teddie Dobell,17.07,58.59,44.91,26.0,90.58,48.43,no
2,Courtney Towsey,84.35,64.67,89.6,38.27,70.07,76.19,no
3,Holmes Puden,58.55,95.39,39.85,32.36,92.64,51.82,yes
4,Ximenes Reary,57.59,8.59,38.26,34.98,34.04,16.52,yes
5,Zenia Siburn,77.98,47.12,23.24,64.43,7.27,8.73,yes
6,Gerta Seger,80.38,22.81,82.52,94.53,77.83,3.08,yes
7,Brande Trappe,85.09,79.65,48.32,36.82,36.17,10.95,yes
8,Trudie Quarton,23.4,78.39,56.17,61.75,18.3,37.34,yes
9,Conney Seth,49.27,53.92,67.88,19.29,30.99,23.79,no
10,Abe Mattussevich,94.73,84.72,96.91,6.19,59.08,73.58,yes
11,Michel Margerison,81.0,96.81,33.06,29.34,29.14,73.45,no
12,Yule Sillitoe,64.29,69.02,19.6,1.4,56.11,3.21,yes
13,Rivi Fairnington,96.3,71.55,63.71,86.25,84.05,74.14,yes
14,Jim Tullot,8.31,17.43,73.19,64.14,44.53,18.5,no
15,Lotti Dagger,31.4,53.19,60.83,88.5,83.53,70.57,no
16,Webb Lambie,82.04,36.91,74.0,42.8,7.84,87.0,yes
17,Tann Farington,68.78,15.22,12.81,16.19,87.09,1.77,no
18,Axel De la Perrelle,12.79,75.9,13.73,38.17,54.22,5.22,yes
19,Lauri Preuvost,60.7,34.46,75.91,38.92,42.18,89.38,no
20,Gorden Grigs,70.13,84.2,42.2,77.08,58.81,78.49,no
21,Bradly Pickaver,2.34,14.66,84.94,46.9,38.67,57.58,no
22,Henri Becaris,63.2,51.18,80.03,54.03,99.24,86.85,no
23,Merle Dalley,37.19,31.65,69.99,96.62,12.69,47.1,yes
24,Denys Leser,84.67,80.25,0.03,62.87,53.49,84.36,yes
25,Vevay Dunklee,59.5,18.94,92.69,32.04,84.63,54.87,no
26,Drud Goad,46.11,21.6,25.58,89.6,68.02,12.12,yes
27,Marguerite Leeds,32.33,56.99,98.27,38.82,0.06,67.88,yes
28,Barret Schroter,74.76,3.59,35.67,40.02,11.85,79.0,no
29,Tyne Sokell,76.75,63.58,29.99,55.77,34.82,85.02,no
30,Zelma Wilkisson,38.38,94.67,20.97,68.64,14.33,5.45,no
31,Dolores Culpan,6.97,47.09,42.99,74.97,42.37,64.68,yes
32,Daria Chipping,86.84,32.1,19.96,46.08,63.57,14.88,no
33,Alon Cheese,70.25,26.4,86.41,59.13,42.52,60.88,yes
34,Othella Scanes,55.12,68.88,93.37,46.11,83.43,85.99,yes
35,Lindy Burrus,40.91,88.69,57.0,4.36,27.42,25.04,no
